название,цена,адрес,площадь,комнаты,этаж,тип_дома,район,источник
"2-комнатная квартира, 88 м², Карасунский район",11 296 081 ₽,"г. Краснодар, ул. Красноармейская, д. 9",88 м²,2,7/7,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 108 м², Центральный район",16 891 984 ₽,"г. Краснодар, ул. Ставропольская, д. 129",108 м²,1,24/14,хрущевка,Центральный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 34 м², Западный район",4 597 064 ₽,"г. Краснодар, ул. Тургенева, д. 13",34 м²,1,25/13,сталинка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 39 м², Центральный район",5 186 512 ₽,"г. Краснодар, ул. Зиповская, д. 131",39 м²,4,13/9,современный,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 49 м², Карасунский район",4 776 213 ₽,"г. Краснодар, ул. Красноармейская, д. 72",49 м²,2,9/13,новостройка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 88 м², Карасунский район",8 310 914 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 79",88 м²,2,23/10,современный,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 44 м², Прикубанский район",6 082 309 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 12",44 м²,4,7/11,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 39 м², Прикубанский район",5 277 300 ₽,"г. Краснодар, ул. 40-летия Победы, д. 21",39 м²,4,15/23,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 63 м², Центральный район",8 005 088 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 66",63 м²,3,20/15,современный,Центральный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 99 м², Прикубанский район",13 897 905 ₽,"г. Краснодар, ул. Селезнева, д. 147",99 м²,1,2/7,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 37 м², Прикубанский район",3 543 850 ₽,"г. Краснодар, ул. Северная, д. 96",37 м²,2,23/20,сталинка,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 67 м², Прикубанский район",7 504 427 ₽,"г. Краснодар, ул. 40-летия Победы, д. 101",67 м²,2,8/8,сталинка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 44 м², Прикубанский район",3 980 523 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 29",44 м²,4,23/8,брежневка,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 48 м², Западный район",6 073 910 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 6",48 м²,3,15/15,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 83 м², Центральный район",9 296 160 ₽,"г. Краснодар, ул. 40-летия Победы, д. 37",83 м²,4,4/6,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 73 м², Западный район",7 501 774 ₽,"г. Краснодар, ул. Гоголя, д. 55",73 м²,4,5/15,современный,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 74 м², Карасунский район",9 333 528 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 30",74 м²,3,2/9,новостройка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 64 м², Карасунский район",9 502 520 ₽,"г. Краснодар, ул. 40-летия Победы, д. 87",64 м²,1,6/9,современный,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 116 м², Прикубанский район",10 804 909 ₽,"г. Краснодар, ул. Красноармейская, д. 116",116 м²,2,25/9,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 95 м², Западный район",10 365 059 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 53",95 м²,1,10/15,сталинка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 114 м², Западный район",15 267 514 ₽,"г. Краснодар, ул. Селезнева, д. 112",114 м²,3,10/13,брежневка,Западный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 53 м², Западный район",8 680 200 ₽,"г. Краснодар, ул. Северная, д. 124",53 м²,2,1/8,новостройка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 101 м², Центральный район",13 619 821 ₽,"г. Краснодар, ул. Селезнева, д. 125",101 м²,4,1/25,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 45 м², Центральный район",6 837 875 ₽,"г. Краснодар, ул. Зиповская, д. 105",45 м²,3,9/7,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 90 м², Центральный район",14 602 017 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 119",90 м²,3,17/16,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 58 м², Карасунский район",7 826 703 ₽,"г. Краснодар, ул. Тургенева, д. 27",58 м²,3,18/17,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 76 м², Западный район",9 927 470 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 3",76 м²,2,2/25,новостройка,Западный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 47 м², Западный район",4 353 825 ₽,"г. Краснодар, ул. Октябрьская, д. 101",47 м²,2,24/19,сталинка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 77 м², Карасунский район",11 228 839 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 1",77 м²,4,6/21,современный,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 113 м², Западный район",14 257 443 ₽,"г. Краснодар, ул. Тургенева, д. 139",113 м²,2,13/25,сталинка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 78 м², Центральный район",13 187 566 ₽,"г. Краснодар, ул. Зиповская, д. 137",78 м²,4,8/15,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 39 м², Центральный район",4 356 852 ₽,"г. Краснодар, ул. Октябрьская, д. 82",39 м²,2,5/14,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 99 м², Прикубанский район",9 544 684 ₽,"г. Краснодар, ул. Красная, д. 16",99 м²,3,24/25,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 116 м², Карасунский район",14 321 137 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 132",116 м²,1,7/13,современный,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 71 м², Центральный район",12 036 281 ₽,"г. Краснодар, ул. Северная, д. 75",71 м²,2,15/21,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 46 м², Прикубанский район",5 365 764 ₽,"г. Краснодар, ул. Зиповская, д. 120",46 м²,2,10/13,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 84 м², Прикубанский район",8 336 529 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 105",84 м²,2,20/13,сталинка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 98 м², Центральный район",17 863 855 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 81",98 м²,4,17/23,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 68 м², Центральный район",9 665 760 ₽,"г. Краснодар, ул. Красноармейская, д. 77",68 м²,3,20/8,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 53 м², Западный район",5 088 994 ₽,"г. Краснодар, ул. Уральская, д. 52",53 м²,4,3/24,брежневка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 53 м², Западный район",5 404 746 ₽,"г. Краснодар, ул. Красная, д. 37",53 м²,1,23/14,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 50 м², Западный район",6 936 498 ₽,"г. Краснодар, ул. Красная, д. 136",50 м²,3,14/19,современный,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 62 м², Прикубанский район",5 402 192 ₽,"г. Краснодар, ул. Ставропольская, д. 124",62 м²,3,16/21,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 118 м², Карасунский район",14 321 582 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 77",118 м²,2,1/10,новостройка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 48 м², Карасунский район",6 823 050 ₽,"г. Краснодар, ул. Коммунаров, д. 4",48 м²,1,8/17,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 55 м², Прикубанский район",7 651 290 ₽,"г. Краснодар, ул. 40-летия Победы, д. 25",55 м²,4,7/7,хрущевка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 30 м², Карасунский район",3 866 574 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 17",30 м²,4,4/21,новостройка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 75 м², Прикубанский район",6 704 342 ₽,"г. Краснодар, ул. Селезнева, д. 54",75 м²,1,17/19,брежневка,Прикубанский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 78 м², Западный район",10 782 032 ₽,"г. Краснодар, ул. Северная, д. 106",78 м²,1,2/23,новостройка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 73 м², Карасунский район",7 124 978 ₽,"г. Краснодар, ул. Рашпилевская, д. 98",73 м²,3,24/19,современный,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 86 м², Карасунский район",11 274 814 ₽,"г. Краснодар, ул. Ставропольская, д. 6",86 м²,1,11/16,новостройка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 95 м², Карасунский район",9 255 592 ₽,"г. Краснодар, ул. Красноармейская, д. 114",95 м²,2,8/6,современный,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 95 м², Карасунский район",13 188 811 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 106",95 м²,2,16/7,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 100 м², Прикубанский район",8 829 428 ₽,"г. Краснодар, ул. Северная, д. 63",100 м²,4,19/22,хрущевка,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 37 м², Западный район",5 579 872 ₽,"г. Краснодар, ул. Коммунаров, д. 122",37 м²,2,2/9,новостройка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 60 м², Центральный район",7 530 489 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 94",60 м²,3,17/21,современный,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 45 м², Западный район",6 952 902 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 86",45 м²,3,18/5,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 28 м², Западный район",2 768 210 ₽,"г. Краснодар, ул. Селезнева, д. 25",28 м²,3,13/12,современный,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 114 м², Западный район",14 054 322 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 72",114 м²,1,21/24,новостройка,Западный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 67 м², Центральный район",7 744 092 ₽,"г. Краснодар, ул. Коммунаров, д. 38",67 м²,2,24/14,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 80 м², Карасунский район",10 343 508 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 110",80 м²,1,13/5,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 76 м², Карасунский район",6 635 706 ₽,"г. Краснодар, ул. Северная, д. 52",76 м²,4,19/6,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 50 м², Западный район",5 356 151 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 79",50 м²,3,21/22,брежневка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 92 м², Карасунский район",8 589 694 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 115",92 м²,3,17/14,хрущевка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 66 м², Западный район",7 472 029 ₽,"г. Краснодар, ул. Тургенева, д. 8",66 м²,4,19/19,современный,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 36 м², Центральный район",4 349 455 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 65",36 м²,3,3/22,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 41 м², Прикубанский район",3 470 234 ₽,"г. Краснодар, ул. Зиповская, д. 36",41 м²,1,10/11,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 76 м², Центральный район",14 183 517 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 148",76 м²,3,3/25,современный,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 55 м², Карасунский район",6 422 888 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 81",55 м²,2,8/25,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 62 м², Западный район",8 308 515 ₽,"г. Краснодар, ул. Кубанская Набережная, д. 148",62 м²,4,18/14,брежневка,Западный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 101 м², Центральный район",17 711 178 ₽,"г. Краснодар, ул. Рашпилевская, д. 105",101 м²,2,15/9,хрущевка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 113 м², Прикубанский район",9 898 745 ₽,"г. Краснодар, ул. Коммунаров, д. 107",113 м²,3,7/20,сталинка,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 40 м², Центральный район",5 217 947 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 149",40 м²,3,16/14,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 48 м², Центральный район",8 443 116 ₽,"г. Краснодар, ул. Красная, д. 21",48 м²,1,13/18,сталинка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 84 м², Западный район",8 543 794 ₽,"г. Краснодар, ул. Зиповская, д. 26",84 м²,4,12/6,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 45 м², Карасунский район",4 778 127 ₽,"г. Краснодар, ул. Красная, д. 130",45 м²,3,6/17,хрущевка,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 57 м², Карасунский район",7 657 220 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 3",57 м²,3,7/12,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 93 м², Карасунский район",9 922 381 ₽,"г. Краснодар, ул. Московская, д. 5",93 м²,1,4/23,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 92 м², Западный район",13 338 186 ₽,"г. Краснодар, ул. Октябрьская, д. 46",92 м²,1,7/6,брежневка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 108 м², Центральный район",12 669 306 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 65",108 м²,4,8/6,современный,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 29 м², Карасунский район",3 179 253 ₽,"г. Краснодар, ул. Северная, д. 100",29 м²,4,21/16,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 114 м², Карасунский район",12 954 177 ₽,"г. Краснодар, ул. Красноармейская, д. 7",114 м²,3,1/24,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 105 м², Западный район",12 603 900 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 95",105 м²,2,13/20,брежневка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 34 м², Карасунский район",5 073 720 ₽,"г. Краснодар, ул. Героев-Разведчиков, д. 124",34 м²,1,4/14,современный,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 112 м², Карасунский район",12 399 636 ₽,"г. Краснодар, ул. Северная, д. 43",112 м²,1,23/9,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 103 м², Центральный район",12 451 267 ₽,"г. Краснодар, ул. Дзержинского, д. 122",103 м²,2,3/14,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 36 м², Западный район",5 372 778 ₽,"г. Краснодар, ул. Красная, д. 56",36 м²,4,13/20,брежневка,Западный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 93 м², Западный район",13 633 429 ₽,"г. Краснодар, ул. Дзержинского, д. 3",93 м²,2,20/25,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 55 м², Западный район",8 612 206 ₽,"г. Краснодар, ул. Ставропольская, д. 88",55 м²,4,9/25,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 101 м², Центральный район",10 922 995 ₽,"г. Краснодар, ул. Зиповская, д. 19",101 м²,1,22/7,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 60 м², Центральный район",10 336 963 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 56",60 м²,4,20/20,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 115 м², Центральный район",16 968 157 ₽,"г. Краснодар, ул. Московская, д. 132",115 м²,3,25/13,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 85 м², Карасунский район",11 596 443 ₽,"г. Краснодар, ул. Зиповская, д. 78",85 м²,4,9/21,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 84 м², Центральный район",12 102 259 ₽,"г. Краснодар, ул. Коммунаров, д. 33",84 м²,4,6/10,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 112 м², Западный район",14 531 031 ₽,"г. Краснодар, ул. Зиповская, д. 43",112 м²,2,8/13,брежневка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 85 м², Западный район",9 777 632 ₽,"г. Краснодар, ул. Красная, д. 128",85 м²,3,5/8,новостройка,Западный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 52 м², Центральный район",5 854 570 ₽,"г. Краснодар, ул. Дзержинского, д. 121",52 м²,3,16/19,хрущевка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 48 м², Прикубанский район",6 101 059 ₽,"г. Краснодар, ул. Красноармейская, д. 109",48 м²,4,11/19,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 79 м², Центральный район",12 183 429 ₽,"г. Краснодар, ул. Рашпилевская, д. 76",79 м²,4,10/19,хрущевка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 47 м², Карасунский район",5 520 953 ₽,"г. Краснодар, ул. Северная, д. 139",47 м²,4,19/19,брежневка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 85 м², Карасунский район",10 728 723 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 47",85 м²,1,25/17,сталинка,Карасунский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 79 м², Прикубанский район",8 013 262 ₽,"г. Краснодар, ул. 40-летия Победы, д. 21",79 м²,2,3/12,современный,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 84 м², Прикубанский район",9 413 893 ₽,"г. Краснодар, ул. Октябрьская, д. 149",84 м²,4,16/20,новостройка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 90 м², Центральный район",15 047 808 ₽,"г. Краснодар, ул. Селезнева, д. 143",90 м²,4,6/23,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 46 м², Западный район",5 240 932 ₽,"г. Краснодар, ул. Селезнева, д. 90",46 м²,1,13/24,хрущевка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 32 м², Центральный район",4 424 092 ₽,"г. Краснодар, ул. Северная, д. 113",32 м²,4,23/5,брежневка,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 58 м², Карасунский район",4 932 276 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 91",58 м²,4,24/21,современный,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 30 м², Карасунский район",3 268 866 ₽,"г. Краснодар, ул. Московская, д. 44",30 м²,1,25/21,хрущевка,Карасунский,Сгенерировано на основе данных Краснодара
"1-комнатная квартира, 77 м², Карасунский район",10 268 722 ₽,"г. Краснодар, ул. Коммунаров, д. 77",77 м²,1,15/11,хрущевка,Карасунский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 91 м², Прикубанский район",10 221 806 ₽,"г. Краснодар, ул. Гоголя, д. 136",91 м²,4,19/25,хрущевка,Прикубанский,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 120 м², Центральный район",20 221 425 ₽,"г. Краснодар, ул. Восточно-Кругликовская, д. 145",120 м²,4,21/23,новостройка,Центральный,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 82 м², Центральный район",8 603 152 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 67",82 м²,3,2/20,современный,Центральный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 105 м², Карасунский район",9 876 147 ₽,"г. Краснодар, ул. им. Евдокии Бершанской, д. 148",105 м²,4,20/13,хрущевка,Карасунский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 42 м², Западный район",3 918 943 ₽,"г. Краснодар, ул. Дзержинского, д. 107",42 м²,3,21/25,сталинка,Западный,Сгенерировано на основе данных Краснодара
"4-комнатная квартира, 62 м², Прикубанский район",5 497 081 ₽,"г. Краснодар, ул. Тургенева, д. 148",62 м²,4,21/22,хрущевка,Прикубанский,Сгенерировано на основе данных Краснодара
"3-комнатная квартира, 87 м², Прикубанский район",9 227 420 ₽,"г. Краснодар, ул. Зиповская, д. 49",87 м²,3,1/7,сталинка,Прикубанский,Сгенерировано на основе данных Краснодара
"2-комнатная квартира, 81 м², Центральный район",13 720 562 ₽,"г. Краснодар, ул. им. Петра Метальникова, д. 71",81 м²,2,6/7,брежневка,Центральный,Сгенерировано на основе данных Краснодара
