"Rank";"Country";"Quality_of_Life_Index";"Purchasing_Power_Index";"Safety_Index";"Health_Care_Index";"Cost_of_Living_Index";"Property_Price_to_Income_Ratio";"Traffic_Commute_Time_Index";"Pollution_Index";"Climate_Index";"Year";"Country_Ru"
9;"Germany";179,8;102,4;65,2;73,3;65,3;9,4;31;29;83;2020;"Германия"
14;"United States";172,1;109,5;52,8;69,3;71,1;3,5;32,9;36,9;77,5;2020;"США"
46;"Uruguay";126;37,5;46,2;66,3;51;16,3;39,9;44,8;98;2020;"Уругвай"
66;"China";102,8;60,9;68,2;64,5;40;29,1;41,8;80,8;79,2;2020;"Китай"
67;"Russia";102,3;38,9;58,9;57,6;39,2;10,8;45,3;62,8;40,4;2020;"Россия"
8;"Germany";176,8;93,7;64,6;73,8;70,6;9,1;31,4;27,5;83;2021;"Германия"
15;"United States";167;102,6;52,3;69;71,9;4;32,9;38,9;77,3;2021;"США"
47;"Uruguay";124,6;30,6;48,8;67,7;51,1;17,3;37,7;45,7;98;2021;"Уругвай"
65;"China";103,1;57,5;69,8;66,4;42,5;29;40,9;81,5;80,2;2021;"Китай"
67;"Russia";101,7;34,6;59,9;58,4;33,2;11,1;44,6;62,3;38,5;2021;"Россия"
7;"Germany";180,3;103,1;63,6;73,2;65,6;8,9;31,1;27,8;82,4;2022;"Германия"
15;"United States";170,7;106,3;51,8;69,1;70,1;4;32,9;35,3;76,8;2022;"США"
49;"Uruguay";122,3;30,1;48,6;68,4;52,1;20,1;37,3;45,2;98;2022;"Уругвай"
67;"China";105,1;60;70,6;66,4;41,8;29;40;80,6;78,4;2022;"Китай"
70;"Russia";103,3;37,4;60,4;59,1;35,3;14,8;44,5;61,8;48,9;2022;"Россия"
11;"Germany";179;107,6;62,4;71,9;62,9;10,7;31,2;28,8;83,3;2023;"Германия"
17;"United States";172,7;115,7;51;68,6;72,4;4,5;33,1;36,1;77,3;2023;"США"
44;"Uruguay";131,4;38,4;47,3;68,4;59,9;13,7;37,3;43,9;98;2023;"Уругвай"
65;"China";104,1;62,3;73,7;67,5;39,2;34,6;38,8;79,3;78,4;2023;"Китай"
66;"Russia";103;40,9;60,7;59,7;40,8;16,3;43,9;60,9;46;2023;"Россия"
12;"Germany";176,5;101;61,1;71,7;62,7;9,8;30,3;29,2;82,7;2024;"Германия"
15;"United States";174;120,9;50,7;67,6;72,9;4,1;33,8;37,1;78,9;2024;"США"
41;"Uruguay";139,1;47;47,8;68,4;55,3;10,3;37,8;43,4;98;2024;"Уругвай"
61;"China";110,9;60,5;75,1;68,1;34,1;29,6;39;78,2;79,7;2024;"Китай"
66;"Russia";106,1;41,5;60,9;60,9;29,5;16,1;43,2;59,6;45,1;2024;"Россия"
14;"Germany";190,2;130,7;60,6;71,9;58,4;8,9;29,7;28,9;82,9;2025;"Германия"
15;"United States";188,8;152,1;50,8;67,8;64,9;3,3;32,9;36,7;78,5;2025;"США"
45;"Uruguay";139,8;55,2;48;68,6;46,3;13;39,5;43,5;98;2025;"Уругвай"
61;"China";121,4;80;76;68,7;30,7;28,5;38,7;77,3;79,2;2025;"Китай"
67;"Russia";116,6;57,6;61,3;61,5;22,3;14,3;43,3;59;47,4;2025;"Россия"
8;"Germany";196,3;142;61,6;72,4;68,7;7,9;28,8;28,2;82,9;2026;"Германия"
15;"United States";186;151,6;50,8;67;68,8;3,5;33,8;37,2;75,8;2026;"США"
48;"Uruguay";139,1;56,3;47,5;68,5;55,6;13,3;40;42,8;98,3;2026;"Уругвай"
53;"China";134,8;96,4;76,9;69,2;30,5;21,5;38,5;76,2;74,4;2026;"Китай"
69;"Russia";115,6;63,2;61,8;61,6;36,5;13,7;43,3;58,4;38;2026;"Россия"
